Open TCP Ports with Services:
Port 631 (TCP) is Open, Service: Unknown
Port 902 (TCP) is Open, Service: Unknown
Port 39135 (TCP) is Open, Service: Unknown
Port 57621 (TCP) is Open, Service: Unknown
Open UDP Ports with Services:
Port 28 (UDP) is Open, Service: Unknown
Port 11 (UDP) is Open, Service: Unknown
Port 7 (UDP) is Open, Service: Unknown
Port 160 (UDP) is Open, Service: Unknown
Port 13 (UDP) is Open, Service: Unknown
Port 15 (UDP) is Open, Service: Unknown
Port 29 (UDP) is Open, Service: Unknown
Port 153 (UDP) is Open, Service: Unknown
